index,epidemic_id,date_range,pathogen,locations,country,hosts,source_reports,true positive,missing reports
189,flu_00190,2007-11-14 to 2007-11-14,H5N1 subtype,Riyadh Region (admin level 1),Saudi Arabia,Galliformes; Gallus gallus; Aves,2007_11_23_2,1,
40,flu_00041,2007-09-04 to 2007-09-04,H5N1 subtype,Bavaria (admin level 1),Germany,Galliformes; Anas; Aves,2007_09_04_2,1,
58,flu_00059,2010-12-01 to 2011-03-15,H5N1 subtype,Hong Kong (admin level 1); Qinghai (admin level 1),People's Republic of China,Gallus gallus; Copsychus saularis; Galliformes; Anser; Aves,2011_01_28_2; 2010_12_03_1; 2011_03_15_2; 2011_01_24_1; 2011_02_11_5,0,2010_11_18_3
105,flu_00106,2016-01-16 to 2016-01-19,H7N9 subtype,"Chekiang Province, Republic of China (admin level 1)",Taiwan,Galliformes; Homo sapiens,2016_01_22_10; 2016_01_22_11,1,
324,flu_00325,2007-04-16 to 2007-04-16,H5N1 subtype,Japan (country),Japan,Aves,2007_04_16_1,1,
152,flu_00153,2015-01-30 to 2015-04-17,H5N1 subtype,"Amethi district (admin level 2), Uttar Pradesh (admin level 1); Kollam (admin level 2), Kerala (admin level 1); Sultanpur district (admin level 2), Uttar Pradesh (admin level 1)",India,Gallus gallus; Corvus splendens; Columbidae; Anas; Aves,2015_01_30_2; 2015_03_20_4; 2015_03_27_2; 2015_04_17_4,0,2014_12_19_5; 2015_05_29_3
158,flu_00159,2009-08-29 to 2009-08-29,H5N1 subtype,"distretto de Chittagong (admin level 2), Chattogram Division (admin level 1)",Bangladesh,Galliformes,2009_09_25_2,1,
223,flu_00224,2016-11-04 to 2016-12-12,H5N8 subtype,"Stansstad (admin level 2), Nidwalden (admin level 1); Canton of Neuchâtel (admin level 1); Oberhofen bei Kreuzlingen (admin level 2), Thurgau (admin level 1); Belmont-sur-Lausanne (admin level 2), Lavaux-Oron District (admin level 1)",Switzerland,Anas platyrhynchos; Chroicocephalus ridibundus; Galliformes; Cepora; Aves; Laridae; Anas,2016_11_15_8; 2016_12_13_10; 2016_11_18_6,1,
20,flu_00021,2012-09-12 to 2012-09-20,H7N3 subtype,Jalisco (admin level 1),Mexico,Galliformes; Homo sapiens; Aves,2012_09_14_1; 2012_09_20_3,1,
24,flu_00025,2017-05-30 to 2017-06-13,H5N8 subtype,"Gunsan (admin level 2), North Jeolla Province (admin level 1); North Jeolla Province (admin level 1); Jeju (admin level 1); Gyeonggi Province (admin level 1)",South Korea,Galliformes; Gallus gallus; Corvus macrorhynchos; Anas; Aves,2017_06_13_3; 2017_05_30_8; 2017_06_06_6,1,
51,flu_00052,2009-03-02 to 2009-07-25,H5N1 subtype,"Hau Giang (admin level 1); Ca Mau (admin level 1); Long Xuyen (admin level 2), An Giang (admin level 1); Bac Lieu (admin level 1); Dien Bien Phu (admin level 2), Điện Biên (admin level 1); Dong Thap Province (admin level 1); Ha Tinh (admin level 1); Vinh Long (admin level 2), Vĩnh Long (admin level 1); Hoang Mai (admin level 2), Hanoi (admin level 1)",Vietnam,Homo sapiens; Galliformes; Gallus gallus; Anas; Aves,2009_05_22_2; 2009_03_23_5; 2009_03_02_8; 2009_06_29_3; 2009_08_03_5,0,2009_01_14_10; 2009_02_06_10; 2009_02_06_5; 2009_02_13_6; 2009_03_30_6; 2009_05_01_5; 2009_05_05_3; 2009_05_15_2
36,flu_00037,2016-01-02 to 2016-01-22,H5N1 subtype,Nigeria (country),Nigeria,Aves,2016_01_22_4; 2016_01_08_3; 2016_01_15_3,0,2015_07_10_2; 2015_07_20_3; 2015_07_31_4; 2015_08_07_5; 2015_08_24_5; 2015_08_28_2; 2015_09_18_3; 2015_09_30_2; 2015_10_05_3; 2015_11_20_3; 2016_01_29_3; 2016_02_22_4; 2016_03_14_5; 2016_04_11_3
0,flu_00001,2011-12-06 to 2012-03-21,H5N1 subtype,"Orissa (admin level 1); Mayurbhanj district (admin level 2), Odisha (admin level 1); Punjab (admin level 1); Kolkata destrict (admin level 2), West Bengal (admin level 1); Visakhapatnam district (admin level 2), Andhra Pradesh (admin level 1); Khordha district (admin level 2), Odisha (admin level 1); Lalitpur district (admin level 2), Uttar Pradesh (admin level 1); Khurdan piirikunta (admin level 2), Odisha (admin level 1); Bhopal district (admin level 2), Madhya Pradesh (admin level 1); distretto di Siwan (admin level 2), Bihar (admin level 1); Jharkhand (admin level 1)",India,Gallus gallus; Corvus macrorhynchos; Corvus; Galliformes; Aves; Anas,2012_02_02_4; 2012_02_22_3; 2012_02_02_13; 2011_12_06_1; 2012_02_02_3; 2012_03_23_2; 2012_04_09_2; 2012_02_02_10; 2012_02_02_1; 2012_02_22_1,0,2012_03_23_7
120,flu_00121,2006-12-01 to 2006-12-01,H5N1 subtype,"Essex County (admin level 2), Massachusetts (admin level 1)",United States of America,Sus scrofa; Aves,2006_12_01_1,1,
30,flu_00031,2014-09-25 to 2014-10-25,H5N1 subtype,"Reggenza di Bone Bolango (admin level 2), Gorontalo Province (admin level 1); Gorontalo Province (admin level 1)",Indonesia,Gallus gallus,2014_11_03_9,1,
62,flu_00063,2009-08-05 to 2009-09-08,H5N1 subtype,"Meeker County (admin level 2), Minnesota (admin level 1)",United States of America,Galliformes; Homo sapiens; Anas; Aves,2009_08_07_2; 2009_09_08_1; 2009_09_01_1,1,
69,flu_00070,2009-09-14 to 2009-09-14,H1N1 subtype,"West Kansas (admin level 1); Riley County (admin level 2), Kansas (admin level 1)",United States of America,Homo sapiens,2009_09_14_3,0,2009_11_06_7; 2009_11_20_4; 2010_01_12_13
307,flu_00308,2017-01-05 to 2017-01-18,Influenza A virus,Chile (country),Chile,Phasianidae; Aves,2017_01_10_9; 2017_01_23_7,1,
127,flu_00128,2007-12-14 to 2007-12-25,H5N1 subtype,"Berlin (admin level 1); Lower Saxony (admin level 1); Goerlitz District (admin level 2), Dresden District (admin level 1); Neubrandenburg District (admin level 1)",Germany,Galliformes; Gallus gallus; Aves,2007_12_21_3; 2008_01_25_3; 2008_01_04_5; 2008_10_09_4,1,
208,flu_00209,2008-10-15 to 2008-10-15,H5N1 subtype,"Lower Saxony (admin level 1); Goerlitz District (admin level 2), Dresden District (admin level 1)",Germany,Galliformes; Aves,2008_10_16_2,1,
317,flu_00318,2012-03-19 to 2012-03-25,H5N1 subtype,Giza Governorate (admin level 1),Egypt,Phasianidae; Galliformes; Homo sapiens,2012_04_12_5,1,
302,flu_00303,2008-02-01 to 2008-03-14,H5N1 subtype,"West Bengal (admin level 1); Distrito de Bhopal (admin level 2), Madhya Pradesh (admin level 1); Malda (admin level 2), West Bengal (admin level 1)",India,Gallus gallus; Galliformes; Anas; Aves,2008_03_14_4; 2008_02_01_3,0,2008_01_04_3; 2008_02_08_5; 2008_03_03_4
107,flu_00108,2012-03-17 to 2012-03-19,H5N2 subtype,Waterschap Limburg (admin level 1),Netherlands,Galliformes; Aves,2012_03_23_4,1,
216,flu_00217,2012-12-30 to 2012-12-30,H5N1 subtype,India (country),India,Galliformes; Aves,2012_02_02_3,0,Incorrect data assigned to tuple
178,flu_00179,2007-02-16 to 2007-02-16,H5N1 subtype,Orenburg Oblast (admin level 1),Russia,Aves,2007_02_16_4,1,
145,flu_00146,2015-06-10 to 2015-06-10,Influenza A virus,"Gangjin (admin level 2), South Jeolla Province (admin level 1); Seoul (admin level 1)",South Korea,Galliformes; Anas; Aves,2015_09_18_1,1,
270,flu_00271,2013-03-01 to 2013-03-18,H5N1 subtype,"Purnia (admin level 2), Bihar (admin level 1); Khordha (admin level 2), Odisha (admin level 1); Odisha (admin level 1); Lakhimpurin piirikunta (admin level 2), Assam (admin level 1); Ganjam (admin level 2), Odisha (admin level 1); distretto di Madhepura (admin level 2), Bihar (admin level 1)",India,Gallus gallus; Galliformes; Aves,2013_03_18_2; 2013_03_01_1,1,
110,flu_00111,2010-11-02 to 2010-11-02,H5N1 subtype,Connecticut (admin level 1),United States of America,Homo sapiens,2010_11_05_2,1,
327,flu_00328,2009-03-02 to 2009-03-02,H5N1 subtype,Phongsaly Province (admin level 1),Laos,Galliformes; Homo sapiens,2009_03_02_6,1,
236,flu_00237,2006-12-07 to 2007-03-08,H5N1 subtype,Heilongjiang (admin level 1); Hong Kong (admin level 1),People's Republic of China,Lonchura punctulata; Aves,2007_01_08_2; 2006_12_07_1; 2007_03_08_1,0,2006_11_14_1; 2007_01_18_1; 2007_01_22_1; 2007_02_07_1; 2007_02_16_1; 2007_03_20_1; 2007_04_06_1; 2007_05_30_2; 2007_06_12_1; 2007_06_01_1; 2007_06_15_1; 2007_06_22_1
264,flu_00265,2014-10-01 to 2014-10-01,H5N1 subtype,Giza Governorate (admin level 1),Egypt,Homo sapiens; Aves,2014_10_06_2,0,2014_11_25_4; 2014_12_09_6; 2014_12_23_6; 2014_12_19_6; 2014_12_16_5; 2015_03_13_5; 2014_12_29_8; 2015_01_23_12; 2015_01_30_8; 2015_02_13_6; 2015_03_02_13; 2015_03_06_7
87,flu_00088,2013-03-25 to 2013-06-27,H7N9 subtype,"Guangdong (admin level 1); Hangzhou (kapital sa lalawigan sa Republikang Popular sa Tsina) (admin level 2), Zhejiang (admin level 1); Shantou (admin level 2), Guangdong (admin level 1); Anhui (admin level 1); Hong Kong (admin level 1); Shanghai (admin level 1); Jiangsu (admin level 1); Hebei (admin level 1); Jiangxi (admin level 1)",People's Republic of China,Gallus gallus; Columbidae; Anas; Galliformes; Aves; Homo sapiens; Anser,2015_03_02_10; 2013_05_13_1; 2013_04_30_3; 2013_05_24_1; 2013_05_03_3; 2013_05_13_3; 2013_04_12_5; 2013_08_23_2; 2013_05_30_5; 2013_05_30_1; 2013_04_12_1; 2013_04_08_1; 2013_06_28_2,0,2013_08_19_3; 2014_12_09_5; 2013_04_19_4; 2013_06_07_1
156,flu_00157,2006-11-14 to 2007-03-20,H5N1 subtype,"New London County, Connecticut (admin level 2), Connecticut (admin level 1); Hong Kong (admin level 1); Nanchang (admin level 2), Jiangxi (admin level 1)",People's Republic of China,Lonchura punctulata; Corvus splendens; Lanius schach; Galliformes; Aves; Psittacidae; Pionus menstruus; Falco peregrinus; Homo sapiens; Anas,2007_01_18_1; 2007_02_07_1; 2007_01_22_1; 2007_03_20_1; 2007_02_16_1; 2006_11_14_1,0,overlaps with flu_00237
169,flu_00170,2014-08-12 to 2014-09-30,H5N6 subtype,"Quang Ngai (admin level 2), Quảng Ngãi (admin level 1); Lang Son (admin level 2), Lạng Sơn (admin level 1); District de Thanh Xuan (admin level 2), Hanoi (admin level 1); Lao Cai (admin level 1); Ha Tinh (admin level 1)",Vietnam,Gallus gallus; Galliformes; Anas; Homo sapiens; Aves,2014_08_29_1; 2014_09_10_1; 2014_08_15_1; 2014_09_30_3,1,
247,flu_00248,2014-06-17 to 2014-06-17,H7N9 subtype,Jiangsu (admin level 1); Shandong (admin level 1),People's Republic of China,Galliformes; Homo sapiens,2014_06_17_2,0,2013_12_06_3; 2013_12_13_2; 2014_01_09_7; 2014_01_09_10; 2014_01_22_6; 2014_01_31_2; 2014_01_31_6; 2014_02_07_3; 2014_01_31_3; 2014_02_19_1; 2014_02_19_12; 2014_03_07_7; 2014_03_07_6; 2014_03_07_13; 2014_03_07_2; 2014_04_10_9; 2014_04_10_4; 2014_05_30_1; 2014_05_16_1; 2014_05_16_2; 2014_05_23_1; 2014_05_30_1; 2014_06_06_1; 2014_06_23_3; 2014_07_21_1; 2014_11_03_10; 2014_10_24_5; 2014_11_03_10; 2014_11_12_2; 2014_12_09_5; 2014_12_29_9; 2014_12_16_3; 2014_12_23_5; 2015_01_08_6; 2015_01_08_11; 2015_02_13_5; 2015_01_30_6; 2015_03_02_11; 2015_03_06_6; 2015_05_01_8; 2015_05_29_7; 2015_06_12_5
187,flu_00188,2015-01-30 to 2015-06-12,H7N9 subtype,"Guangdong (admin level 1); Hubei (admin level 1); Anhui (admin level 1); Zhejiang (admin level 1); Shanghai (admin level 1); Meizhou (kapital sa prepektura sa Republikang Popular sa Tsina) (admin level 2), Guangdong (admin level 1); Heyuan (admin level 2), Guangdong (admin level 1); Jiangxi (admin level 1)",People's Republic of China,Gallus gallus; Galliformes; Homo sapiens; Aves,2015_03_06_6; 2015_05_01_8; 2015_01_30_6; 2015_05_29_7; 2015_06_12_5,0,overlaps with flu_00248
136,flu_00137,2007-07-03 to 2007-07-17,H5N1 subtype,"East Siberian Oblast (admin level 2), Russian Soviet Federative Socialist Republic (admin level 1); Buryatia (admin level 1); Tomsk Oblast (admin level 1)",Russia,Galliformes; Aves,2007_07_20_2; 2007_07_05_3,1,
249,flu_00250,2011-01-04 to 2011-01-04,H5N1 subtype,Kagoshima Prefecture (admin level 1),Japan,Aves,2011_01_14_1,0,2011_01_24_2; 2011_01_28_3; 2011_01_28_5; 2011_02_08_3; 2011_02_11_7; 2011_02_11_1; 2011_02_28_1; 2011_02_08_1; 2011_02_22_6; 2011_02_22_2; 2011_03_07_1; 2011_03_15_5; 2011_03_22_1; 2011_03_22_4
70,flu_00071,2007-06-12 to 2007-06-12,H5N1 subtype,Kuala Lumpur (admin level 1); Selangor (admin level 1),Malaysia,Gallus gallus; Galliformes,2007_06_12_3,1,
204,flu_00205,2011-12-13 to 2011-12-16,H5N1 subtype,"Hong Kong (admin level 1); Katchiungo (admin level 2), Huambo Province (admin level 1)",Angola,Chroicocephalus ridibundus; Aves,2011_12_22_1,1,
280,flu_00281,2015-04-02 to 2015-04-02,Influenza A virus,Gaza Strip (admin level 1),State of Palestine,Galliformes; Homo sapiens; Aves,2015_04_03_7,1,
135,flu_00136,2009-07-24 to 2009-07-24,H1N1 subtype,Australia (country),Australia,Galliformes; Sus scrofa,2009_08_03_3,1,
231,flu_00232,2011-05-31 to 2011-07-11,H5N1 subtype,Jambi Province (admin level 1); South Sulawesi (admin level 1),Indonesia,Galliformes; Gallus gallus; Homo sapiens,2011_05_31_1; 2011_06_10_3; 2011_07_11_2; 2011_06_20_1,1,
326,flu_00327,2013-04-19 to 2013-04-26,H5N1 subtype,Cairo Governorate (admin level 1),Egypt,Gallus gallus; Galliformes; Homo sapiens; Anas,2013_04_19_3; 2014_02_19_9,1,
281,flu_00282,2017-11-22 to 2017-11-22,H7N9 subtype,Fujian (admin level 1); Jiangsu (admin level 1); Zhejiang (admin level 1),People's Republic of China,Galliformes; Homo sapiens,2017_01_10_21,1,
253,flu_00254,2010-02-24 to 2010-04-01,H5N1 subtype,Gharbia Governorate (admin level 1); Damietta Governorate (admin level 1); Qalyubia Governorate (admin level 1),Egypt,Homo sapiens; Galliformes; Anas,2010_03_26_3; 2010_03_09_5; 2010_04_02_4; 2010_05_28_1,1,
251,flu_00252,2016-04-20 to 2016-06-20,H5N2 subtype,Taipei (admin level 1); Taichung (admin level 1),Taiwan,Galliformes; Gallus gallus,2016_06_24_5; 2016_04_20_3; 2016_05_20_6,1,
168,flu_00169,2015-08-18 to 2015-08-18,H5N2 subtype,Mexico (country),Mexico,Galliformes; Aves,2015_08_18_2,1,
323,flu_00324,2006-12-10 to 2006-12-10,H5N1 subtype,Anhui Province (admin level 1),China,Galliformes; Gallus gallus; Homo sapiens,2007_01_18_4,0,overlaps with flu_00237
138,flu_00139,2007-11-04 to 2007-11-04,H5N1 subtype,Fukui Prefecture (admin level 1),Japan,Galliformes; Aves,2007_02_16_3,1,
141,flu_00142,2011-06-29 to 2011-08-01,H5N1 subtype,"Minnesota (admin level 1); Wright County (admin level 2), Iowa (admin level 1)",United States of America,Galliformes; Homo sapiens; Aves,2011_07_06_4; 2011_08_11_3,1,
268,flu_00269,2017-01-03 to 2017-02-07,H5N8 subtype,Wales (admin level 1),United Kingdom,Anas platyrhynchos; Gallus gallus; Galliformes; Anas; Aves,2017_02_07_14; 2017_01_10_20,1,
174,flu_00175,2006-12-26 to 2006-12-26,H5N1 subtype,"Mueang Suphan Buri (admin level 2), Suphanburi (admin level 1); Phitsanulok (admin level 1)",Thailand,Columbidae; Anas; Aves,2007_01_22_2,0,2007_02_07_4; 2010_11_05_1; 2007_04_06_2
171,flu_00172,2007-06-21 to 2007-07-17,H5N1 subtype,South Bohemia Region (admin level 1); South Moravian Region (admin level 1); Central Bohemian Region (admin level 1),Czech Republic,Phasianidae; Galliformes; Aves,2007_06_22_4; 2007_07_17_2; 2007_07_03_2,1,
54,flu_00055,2016-01-06 to 2016-03-17,H7N9 subtype,"Guangdong (admin level 1); Hunan (admin level 1); Hubei (admin level 1); Zhaoqing (admin level 2), Guangdong (admin level 1); Shantou (admin level 2), Guangdong (admin level 1); Yongzhou (admin level 2), Hunan (admin level 1); Chaozhou (admin level 2), Guangdong (admin level 1); Zhejiang (admin level 1); Jiangmen (admin level 2), Guangdong (admin level 1); Zhongshan (admin level 2), Guangdong (admin level 1); Hong Kong (admin level 1); Meizhou (kapital sa prepektura sa Republikang Popular sa Tsina) (admin level 2), Guangdong (admin level 1); Jiangsu (admin level 1); Fujian (admin level 1); Jieyang (admin level 2), Guangdong (admin level 1); Shaoxing (admin level 2), Zhejiang (admin level 1); Longyan (admin level 2), Fujian (admin level 1)",People's Republic of China,Galliformes; Homo sapiens,2016_01_15_7; 2016_02_08_7; 2016_05_06_7; 2016_02_29_5; 2016_02_22_7; 2016_03_14_9; 2016_03_21_8; 2016_01_08_7; 2016_01_29_4; 2016_02_16_3,0,2015_10_16_5; 2015_11_13_4; 2016_07_26_2; 2015_11_25_6; 2016_04_26_10; 2016_04_26_11; 2016_05_20_7; 2016_05_27_2; 2016_06_10_2; 2016_06_17_4; 2016_06_07_8; 2016_07_12_5; 2016_09_01_3; 2016_07_29_5
,,,,,,,,44,
